SWISSPROT,Count,Proportion(%)
P01024,1381,0.0181
Q9ULH0,1380,0.0181
O60449,1380,0.0181
Q5IJ48,1379,0.0181
Q9BX84,1378,0.0181
Q14112,1377,0.0181
P11047,1375,0.0181
O14647,1375,0.0181
Q6UY14,1373,0.018
Q9NYF8,1368,0.018
O00512,1367,0.018
Q9ULT8,1367,0.018
Q5T8A7,1366,0.0179
Q96MS0,1364,0.0179
Q07889,1364,0.0179
P46100,1363,0.0179
Q8TEK3,1361,0.0179
Q02487,1361,0.0179
Q9UGM3,1360,0.0179
Q4G0X9,1360,0.0179
Q9BXX3,1358,0.0178
Q711Q0,1358,0.0178
A0AVI2,1353,0.0178
Q96J66,1352,0.0178
O75128,1352,0.0178
Q03164,1345,0.0177
O15534,1345,0.0177
Q9P266,1345,0.0177
Q2UY09,1344,0.0177
Q149M9,1344,0.0177
Q6ZP82,1342,0.0176
E2RYF6,1340,0.0176
Q9P2E9,1340,0.0176
Q8WXX7,1340,0.0176
Q14146,1339,0.0176
Q8IWY9,1338,0.0176
Q9BXL6,1337,0.0176
Q96HA1,1337,0.0176
Q96KN7,1337,0.0176
Q9Y6C5,1336,0.0176
Q5SYB0,1336,0.0176
Q9UPT8,1335,0.0175
O94964,1335,0.0175
Q13009,1335,0.0175
Q9C0I4,1334,0.0175
O60500,1333,0.0175
Q01118,1332,0.0175
Q96PC5,1332,0.0175
P49790,1332,0.0175
Q9BYE9,1332,0.0175
O95163,1331,0.0175
Q8NEM0,1329,0.0175
O94911,1327,0.0174
Q9C0A0,1327,0.0174
P23470,1327,0.0174
H7BZ55,1325,0.0174
Q8TEQ6,1322,0.0174
Q9Y6Y1,1322,0.0174
P58397,1321,0.0174
Q9NSI6,1320,0.0173
O60610,1318,0.0173
P09848,1317,0.0173
Q04912,1316,0.0173
Q6P158,1316,0.0173
Q8WWN8,1316,0.0173
Q8TDZ2,1315,0.0173
O43151,1313,0.0172
Q9P2E3,1311,0.0172
Q9NX02,1311,0.0172
Q8N3C0,1311,0.0172
Q13395,1311,0.0172
Q68CQ1,1310,0.0172
Q07890,1310,0.0172
Q96QP1,1308,0.0172
Q92626,1308,0.0172
Q66K79,1308,0.0172
P0DKV0,1306,0.0172
Q9UPQ9,1306,0.0172
Q9NZM3,1305,0.0171
Q7Z6E9,1305,0.0171
Q96RG2,1304,0.0171
Q96JH8,1304,0.0171
Q8N139,1302,0.0171
P35568,1300,0.0171
Q63HR2,1299,0.0171
Q9Y2X0,1299,0.0171
O00750,1299,0.0171
Q8WXS8,1299,0.0171
O95450,1299,0.0171
Q8IWU2,1299,0.0171
O76041,1298,0.0171
Q9NQ11,1296,0.017
P43146,1295,0.017
O75179,1293,0.017
Q96JA1,1293,0.017
P48681,1292,0.017
Q86UW6,1292,0.017
Q5T5Y3,1291,0.017
Q6ZTR5,1291,0.017
O14841,1290,0.0169
Q14324,1289,0.0169
Q6ZU35,1289,0.0169
P01031,1288,0.0169
Q9Y4C4,1288,0.0169
Q92618,1288,0.0169
Q8IWJ2,1288,0.0169
Q68CZ2,1287,0.0169
Q92608,1287,0.0169
O95071,1286,0.0169
Q13813,1285,0.0169
Q9UDY2,1285,0.0169
Q9H5P4,1285,0.0169
A7MBM2,1284,0.0169
Q9HCM2,1284,0.0169
O95428,1283,0.0169
P29597,1283,0.0169
Q92545,1282,0.0168
O43933,1281,0.0168
O75037,1279,0.0168
Q7Z4L5,1279,0.0168
P53675,1278,0.0168
P98088,1278,0.0168
Q8WXD9,1278,0.0168
Q9P2K9,1277,0.0168
P14543,1276,0.0168
Q9BZV3,1273,0.0167
Q8WZ74,1273,0.0167
Q14147,1272,0.0167
Q7Z494,1272,0.0167
O00443,1271,0.0167
O60391,1271,0.0167
Q96Q42,1269,0.0167
Q96MT7,1269,0.0167
P33527,1269,0.0167
Q8IZD9,1268,0.0167
A6NES4,1268,0.0167
A8K8P3,1267,0.0166
Q8NDM7,1266,0.0166
O75094,1264,0.0166
P55265,1264,0.0166
Q9Y2G9,1264,0.0166
Q5JR59,1264,0.0166
Q9BQS8,1262,0.0166
P57679,1261,0.0166
