Gene_symbol,Count,Proportion(%)
OPA3,188,0.0205
HMGCS2,188,0.0205
NDUFA10,188,0.0205
TSFM,188,0.0205
ALPG,188,0.0205
NWD1,188,0.0205
NFS1,188,0.0205
ACAD11,187,0.0204
IDH3B,187,0.0204
CSH2,187,0.0204
HLA-DRB5,187,0.0204
PLGRKT,187,0.0204
ATL3,187,0.0204
C1QTNF8,187,0.0204
PRKAR1A,186,0.0203
ACAA1,186,0.0203
CTNNA1,186,0.0203
NDUFS8,186,0.0203
RDH8,186,0.0203
FDFT1,186,0.0203
RPL10L,185,0.0201
MSH3,185,0.0201
NNT,185,0.0201
FAM86B1,185,0.0201
H4C2,185,0.0201
NARF,185,0.0201
HSD17B14,185,0.0201
IGHV5-51,185,0.0201
GALNT12,184,0.02
WNT2B,184,0.02
SAMHD1,184,0.02
PANK4,184,0.02
ELP3,184,0.02
POLD1,184,0.02
ALDH2,184,0.02
AXIN2,184,0.02
CASP8,184,0.02
CERCAM,184,0.02
SEC24B,183,0.0199
GMPPA,183,0.0199
TPK1,183,0.0199
BIN3,183,0.0199
GLUD1,183,0.0199
UAP1L1,183,0.0199
CABP4,183,0.0199
LAP3,183,0.0199
FTL,183,0.0199
NUDT14,183,0.0199
NARS2,182,0.0198
SUGCT,182,0.0198
TRMU,182,0.0198
LHB,182,0.0198
ASMTL,182,0.0198
TUBA1C,182,0.0198
CAPN2,182,0.0198
GFOD2,181,0.0197
WNT7B,181,0.0197
SIRT4,181,0.0197
SUCLA2,181,0.0197
NIT1,181,0.0197
CRYL1,180,0.0196
CLTCL1,180,0.0196
ACY3,180,0.0196
ETFDH,180,0.0196
GCNT3,180,0.0196
WNT9B,180,0.0196
IGLV4-69,180,0.0196
EXOSC4,180,0.0196
AKR7A3,180,0.0196
DPH1,179,0.0195
FGF20,179,0.0195
NDUFAF7,179,0.0195
HSD17B1,179,0.0195
FARS2,179,0.0195
ME2,178,0.0194
PDIA2,177,0.0193
COLGALT1,177,0.0193
DPYS,177,0.0193
SURF1,177,0.0193
DPP7,177,0.0193
WRNIP1,177,0.0193
IGKV1-8,176,0.0192
GOSR2,176,0.0192
AIP,176,0.0192
CASR,176,0.0192
IGHV1-3,176,0.0192
INTS11,175,0.0191
IGKV1-17,175,0.0191
KCNE1,175,0.0191
HMBS,175,0.0191
KCNAB3,175,0.0191
CASP6,175,0.0191
CASP7,175,0.0191
PECR,174,0.0189
WNT9A,174,0.0189
FAM167A,174,0.0189
DPH2,174,0.0189
ACLY,174,0.0189
MEFV,174,0.0189
NDUFB10,174,0.0189
P4HA3,174,0.0189
CTSA,174,0.0189
LONP1,174,0.0189
TRUB2,174,0.0189
EEF2KMT,174,0.0189
CBS,174,0.0189
ASPDH,173,0.0188
MTAP,173,0.0188
STX11,173,0.0188
TYW1B,173,0.0188
CAT,173,0.0188
TTC7A,173,0.0188
COG8,173,0.0188
CRYGA,173,0.0188
XPNPEP3,172,0.0187
ECH1,172,0.0187
IFT122,172,0.0187
ECHDC2,172,0.0187
CAPN12,172,0.0187
GBGT1,172,0.0187
CIB3,172,0.0187
MRPS18A,171,0.0186
METTL22,171,0.0186
EIF2B4,171,0.0186
SEC23B,171,0.0186
SUCLG1,171,0.0186
AGMAT,171,0.0186
RYR3,171,0.0186
IL17C,170,0.0185
PRMT7,170,0.0185
IGLV2-11,170,0.0185
IGLV5-45,170,0.0185
SLC4A1,170,0.0185
WNT10B,170,0.0185
EXOSC7,170,0.0185
DHRS4L2,170,0.0185
NQO1,169,0.0184
MTHFD1,169,0.0184
IGLV2-8,169,0.0184
ACY1,169,0.0184
HIBADH,169,0.0184
WNT5A,169,0.0184
EPHX1,169,0.0184
DHRS4,169,0.0184
AASS,169,0.0184
CYP2A6,169,0.0184
CAPN9,169,0.0184
CA5A,168,0.0183
APOA1,168,0.0183
NANS,168,0.0183
IFNA8,168,0.0183
IGKV5-2,168,0.0183
MRPS5,168,0.0183
ENOSF1,168,0.0183
AKR1C3,167,0.0182
LMAN2,167,0.0182
IL36RN,167,0.0182
PYCR2,167,0.0182
AANAT,167,0.0182
IGHV3-30,167,0.0182
UGGT1,166,0.0181
GSTA2,166,0.0181
IGHV3-11,166,0.0181
BAIAP2L2,166,0.0181
OMP,166,0.0181
TUBE1,166,0.0181
WNT1,166,0.0181
GSS,166,0.0181
CST1,166,0.0181
ETNPPL,166,0.0181
BLM,165,0.018
HARS1,165,0.018
TIMM29,165,0.018
SMPD1,165,0.018
ERCC4,165,0.018
DPEP2,165,0.018
COX4I1,165,0.018
FBXW5,165,0.018
ASNS,164,0.0179
HKDC1,164,0.0179
CCT7,164,0.0179
VPS16,164,0.0179
CLEC3A,164,0.0179
IGLV7-46,164,0.0179
OGFOD2,164,0.0179
VPS33A,164,0.0179
MOB3C,164,0.0179
MOGAT2,164,0.0179
NDUFB8,164,0.0179
WNT11,164,0.0179
ROPN1B,163,0.0177
PDHA1,163,0.0177
MTMR2,163,0.0177
PSG1,163,0.0177
DNALI1,163,0.0177
ATL2,163,0.0177
HLA-A,163,0.0177
IL11,163,0.0177
SLC12A1,163,0.0177
TEP1,163,0.0177
MRPL20,163,0.0177
RP1L1,162,0.0176
IGHV4-31,162,0.0176
NAALADL1,162,0.0176
KCNH2,162,0.0176
CHMP6,162,0.0176
IFT52,162,0.0176
PEX5,162,0.0176
IFNE,162,0.0176
ABCA4,162,0.0176
TREX1,162,0.0176
PRPH2,162,0.0176
NGDN,162,0.0176
CHP2,162,0.0176
NUP85,161,0.0175
EXOSC9,161,0.0175
PWP2,161,0.0175
ADI1,161,0.0175
NDUFV2,161,0.0175
NDUFAF1,161,0.0175
ELP1,161,0.0175
TCP1,161,0.0175
DHDH,161,0.0175
SIRT2,161,0.0175
PAFAH2,161,0.0175
ST8SIA5,161,0.0175
CWF19L1,161,0.0175
TRPM8,161,0.0175
ALDOB,161,0.0175
GALNT10,160,0.0174
KBTBD13,160,0.0174
KCNV2,160,0.0174
HARS2,160,0.0174
MUC5B,160,0.0174
MMAB,160,0.0174
GSTA1,160,0.0174
GSTM5,160,0.0174
UNC119,160,0.0174
ELANE,160,0.0174
HTRA3,160,0.0174
LRP1,159,0.0173
DHX35,159,0.0173
GBA1,159,0.0173
CPT1C,159,0.0173
DYNC1H1,159,0.0173
DDX47,159,0.0173
AK8,159,0.0173
GCK,159,0.0173
OTC,159,0.0173
CKM,159,0.0173
IDH2,159,0.0173
NDUFS3,158,0.0172
FAHD1,158,0.0172
ADH1C,158,0.0172
IFNA2,158,0.0172
ERICH1,158,0.0172
DERA,158,0.0172
RRM2B,158,0.0172
CAPN1,158,0.0172
CCDC115,158,0.0172
